name,latitude,longitude,size,color
HIDROBARRANCAS,7.0653,-73.8547,0.03,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
PROENCA II,10.9878,-74.7889,0.03,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG CEMENTOS DEL NARE,4.7343,-74.2624,0.03,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
SAJANDI,4.710989,-74.072092,0.03,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
BARRANQUILLA 4,10.9825,-74.8077,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
VENTANA A,10.9685,-74.7813,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
LA CASCADA (ANTIOQUIA),6.5522,-75.8272,0.02,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
LAS PALMAS,10.9639,-74.7963,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
BARRANQUILLA 3,11.0041072,-74.8069813,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
IQUIRA I,2.8211,-75.817,0.02,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
CELSIA SOLAR BOLIVAR,10.4212,-75.2116,0.02,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
EL BOSQUE,4.711,-74.0721,0.02,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
CASCADA,4.711,-74.0721,0.02,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
RUMOR,7.11392,-73.1198,0.02,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
AUTOG ECOPETROL ORITO,0.67861,-76.88222,0.02,#556b2f
Puerto Asis,0.5,-76.5,3.0,#702963
SUBA,4.60971,-74.08175,0.02,#556b2f
